name,lat,lon,open,close,province
ร้านพอดีแซ่บ ตำ ยำ นัว,18.5557454,99.0404369,9:00,21:00,Lamphun
hhom cafe / ฮ่อมคาเฟ่,18.5811057,99.0097429,8:00,13:00,Lamphun
อินบ็อกซ์คาเฟ่ลำพูน,18.5526896,99.0385838,8:00,18:00,Lamphun
Delizia Garden,18.4597085,99.1815062,8:00,17:00,Lamphun
CoCo Bar LoLo,18.5543092,99.040014,11:00,0:00,Lamphun
Suksaby Cafe - สุขสบายคาเฟ่,18.5539357,99.039094,8:00,17:00,Lamphun
ร้านบ้านเพื่อน @บ้านม้า ลำพูน,18.550805,99.0784683,17:00,0:00,Lamphun
ก๋วยเตี๋ยวชัยรสเด็ด,18.5728234,99.0065387,10:00,15:30,Lamphun
ร้านคุณแอ๋มก๋วยเตี๋ยวอาหารตามสั่ง,18.5472896,99.0554998,7:00,15:00,Lamphun
ลาบลุงสน,18.5513197,99.0503777,8:30,19:00,Lamphun
ลาบอ้ายรบ,18.5383224,99.0366363,9:30,17:00,Lamphun
โซนอร่อย,18.5507493,99.0498267,7:00,17:00,Lamphun
ป่าซางคอฟฟี่,18.5268064,98.9397854,8:00,17:00,Lamphun
บ้านฮิมฝาย,18.5257296,98.9034167,7:30,16:00,Lamphun
ภูฟิน@ป่าซาง,18.4861652,98.8782331,8:00,19:00,Lamphun
ลาบน้องโย,18.485479,98.9376763,8:00,17:30,Lamphun
ร้านส้มตำป้าแดง,18.4872552,98.938206,9:00,16:00,Lamphun
SUN'S SON Cafe,18.4690164,98.9248739,7:30,16:30,Lamphun
เฮียจั๊ว เกาเหลาเลือดหมู,18.5300051,98.9405844,7:00,14:00,Lamphun
น้องหนึ่งข้าวซอยไก่,18.5193976,98.938584,8:00,16:00,Lamphun
มีอันจะกิน,18.761988,99.001615,10:00,0:00,Lamphun
ร้านลาบบัวลอย,18.4886931,98.9115533,8:00,20:00,Lamphun
ร้าน จานด่วนรสเด็ด,18.4786149,98.9340434,7:30,16:00,Lamphun
โอ้วว ชาบู&หมูทะ,18.463741,98.9186367,16:00,22:00,Lamphun
ร้านคุ้มเก้าคาเฟ่,18.448988,98.8894827,7:00,22:00,Lamphun
สวนศิลป์ (ป่าซาง),18.5242582,98.940324,9:00,21:00,Lamphun
ร้านวันจันทร์ Wanchan Pasang,18.4719756,98.9539255,10:00,18:00,Lamphun
ร้าน สถานีหลู้ พาสไทม์,18.5262115,98.9043663,12:00,22:00,Lamphun
เฮือนอุ้ยถา_95,18.5194418,98.9387975,11:00,22:00,Lamphun
ร้านอาหารปางไม้,18.4320201,98.8681182,10:00,20:00,Lamphun
ร้านข้าวซอยบัวเรียว,18.5162672,98.941886,8:00,15:00,Lamphun
ร้านอาหารครัวล้านนา อินดี้,18.471653,98.8588075,11:00,14:00,Lamphun
ครัวรอยยิ้ม อ่างเก็บน้ำแม่วังส้าน,18.4199473,98.9062541,10:00,20:00,Lamphun
ร้านป้าเล็กวินเทจ,18.4352545,98.8723944,15:00,23:30,Lamphun
บ้านลุงจ่าคาเฟ่,18.4498802,98.8908101,17:00,23:00,Lamphun
ร้านอิ่ม จุกจุก,18.4296696,98.9000885,6:30,17:00,Lamphun
ร้านมะกอกสเต็ก,18.4530642,98.8841229,8:00,21:00,Lamphun
โรงแพะ ข้าวกะเพราถาด,18.4554097,98.9037018,7:00,19:00,Lamphun
ส้มตำลูกข้าวนึ่ง สาขา 2,18.4521784,98.8885705,8:30,18:30,Lamphun
ร้านข้าวต้มป่าซางเจ้าเก่า,18.534479,98.9399784,16:45,23:15,Lamphun
ครัวเจ๊แหม่ม ข้าวราดแกง,18.4465698,98.8862704,6:00,14:00,Lamphun
ครัวนายอาร์ม,18.4526828,98.8856597,10:00,16:00,Lamphun
หน้าบ้าน ครัว•คาเฟ่,18.4535715,98.8977,10:30,20:00,Lamphun
ครัว4แยก,18.4524708,98.888729,7:00,17:00,Lamphun
โอ้โหก๋วยเตี๋ยวก๋ามังลูกชิ้นยัก,18.4602179,98.9157378,8:00,16:00,Lamphun
ร้านเฮือนยายหอม,18.5241287,98.9394198,8:30,20:30,Lamphun
ร้าน ครัวอีสาน,18.4456079,98.8852559,11:00,23:30,Lamphun
บ้านแซมโอชา ขาหมูรสเด็ด อาหารตามสั่ง,18.4757638,98.9322594,8:30,15:30,Lamphun
ลองลำ,18.4469057,98.8873927,8:00,17:00,Lamphun
GOLDMILK FARM,18.4834741,99.1284597,10:00,19:00,Lamphun
ร้านลาบไก่หมื่นข้าว,18.4181039,99.0060782,10:00,19:00,Lamphun
ร้านลาบอ้ายเบิ้ล,18.460338,99.1300246,9:00,21:00,Lamphun
ร้านป้าอ้อตามสั่ง,18.5006855,99.2651957,7:00,20:00,Lamphun
ประเทืองปลาสด,18.4910943,99.1871153,11:00,18:00,Lamphun
ร้านป้าผง,18.4404255,99.0656863,8:00,20:00,Lamphun
ครัวยายหล้า,18.4629677,99.1299518,6:00,18:00,Lamphun
ร้านโอโซนคาเฟ่,18.4617517,99.17535,9:00,17:00,Lamphun
วิรัตน์ ลาบขม,18.4734933,99.1621819,10:00,19:00,Lamphun
ร้านอาหารผาเวียง,18.3525907,98.9567864,11:00,18:00,Lamphun
ร้านอาหารเดือน,18.4610655,99.1302281,10:00,18:00,Lamphun
มาลาจรคาเฟ่,18.495965,98.9583278,8:00,18:00,Lamphun
Seventeen ฟินขุนตาน Cafe สถานีรถไฟขุนตาน,18.5008626,99.2658822,7:00,17:00,Lamphun
ร้านพ่อหลวงแก้ว ก๋วยเตี๋ยวอาหารตามสั่ง,18.4514791,99.1173568,7:30,15:30,Lamphun
ร้านชุรีย์ อาหารพื้นเมือง ลาบ ลู้ ส้า แกงอ่อม,18.4586758,99.1292865,8:00,18:30,Lamphun
ระเบียงดาว หมูจุ่มหม้อดิน,18.4537673,99.1096426,18:00,0:00,Lamphun
ในสวน In Garden,18.5141492,98.9179291,10:00,21:00,Lamphun
ก๋วยเตี๋ยวในหลืบ บ้านธิ,18.6490232,99.1344858,9:00,15:00,Lamphun
จาวนา คาเฟ่,18.6626422,99.1334054,9:00,21:00,Lamphun
KOI Lakeviewcafe คอยเลควิวคาเฟ่,18.7070118,99.1698434,9:00,20:00,Lamphun
เฮือนข้าวเจ้าบ้านธิหละปูน,18.6527858,99.1386775,9:00,17:00,Lamphun
ร้าน แอ๋วตำแหลก เตี๋ยวตกยกซด,18.6503053,99.1178742,8:00,18:00,Lamphun
Totaycafe,18.6461476,99.130262,6:30,17:00,Lamphun
บ้านคุณเปรม สเต๊ก เฮ้าส์,18.6604316,99.1072494,11:00,20:00,Lamphun
ครัวอำพน (Krua Umpon The Heavenly Kitchen),18.6780189,99.1483645,9:00,21:00,Lamphun
หมึกย่างบ้านธิ,18.6388301,99.1057586,8:00,21:00,Lamphun
ฮัทชิคาเฟ่ บ้านธิ,18.6517358,99.1257045,9:00,20:00,Lamphun
ครัวครูยุ้ย,18.6512083,99.1230714,8:00,17:00,Lamphun
ร้านอาหารครัวคำใจ,18.6518142,99.070237,9:00,0:00,Lamphun
