name,lat,lon,open,close,province
กระบี่อันดามัน อาหารปักษ์ใต้,18.2779464,99.4990727,"	
7:00",18:00,Lampang
ร้านซูชิมั้ย ลำปาง,18.2887616,99.4849019,"	
11:30",21:00,Lampang
ลาบซุกหลืบ,18.3433576,99.4476282,"	
10:00",18:00,Lampang
ลาบจามเทวี ร้านอาหารเหนือ,18.2971264,99.4989477,8:00,21:00,Lampang
Naya Farm,18.3363245,99.5399035,"	
11:00",22:30,Lampang
ส้มตำแซ่บเว่อร์BM ร้านต้นตำหรับ,18.2594612,99.4740472,"	
10:30",18:30,Lampang
รุ่งโรจน์โภชนา ลำปาง,18.2837144,99.4758221,8:30,15:30,Lampang
ร้านลำปางกุ้งซิ่ง,18.2927226,99.4881343,"	
10:30",21:00,Lampang
ข้าวมันไก่หน้าสถานีรถไฟนครลำปาง,18.2802611,99.4732575,"	
7:00",13:00,Lampang
ชอกะเชอ ก๋วยเตี๋ยวเนื้อตุ๋น ลำปาง,18.2830937,99.5110452,"	
9:00",15:00,Lampang
ข้าวซอยแม่ฟอง,18.2818006,99.4773663,"	
8:00",15:30,Lampang
ข้าวหมูแดงสยาม,18.2865277,99.4879541,"	
9:00",15:00,Lampang
ป้อก๊วยจั๊บ น้ำข้น หน้าสถานีรถไฟ,18.2801165,99.4731505,"	
5:30",10:30,Lampang
อิ่มสบายบ้านยายมุข,18.2895826,99.4707741,"	
10:00",20:00,Lampang
ติ่มซำลำปาง,18.280184,99.4854631,9:00,15:00,Lampang
Long Jim New York Pizza,18.290434,99.4983346,"	
17:00",21:00,Lampang
แพวังเฮือLake Hill,18.2234136,99.5809141,"	
11:00",20:00,Lampang
ร้านเดิม ลำปาง,18.2746924,99.5123557,17:00,23:30,Lampang
ร้านปั๊มเก่าโภชนาลำปาง,18.28624,99.4876821,10:00,21:00,Lampang
ร้านอาหารอร่อยจังคาเฟ่แอนด์คิทเช่น,18.2767523,99.5209842,"	
9:00",18:00,Lampang
ตลาดอาหารเย็นถึงดึก โต้รุ่ง ลำปาง,18.288922,99.5022273,"	
4:00",21:00,Lampang
ข้าวซอยแม่คำแสน,18.2802468,99.4902314,"	
8:00",13:00,Lampang
Okay Shabu สาขาลำปาง,18.2894121,99.4835011,"	
11:00",22:30,Lampang
ร้านหมี่เกี๊ยวมากองต้า,18.2910154,99.498544,"	
8:00",16:00,Lampang
ข้าวซอยจันทร์ฉาย,18.2885703,99.4707328,"	
10:00",15:00,Lampang
Nice Lampang,18.2787397,99.5105466,"	
10:00",18:30,Lampang
Where Do We Go Lampang Taproom,18.2898114,99.4950777,"	
17:00",0:00,Lampang
ซะป๊ะตำ ลำปาง,18.2942745,99.4942139,10:00,22:00,Lampang
ข้าวต้มบาทเดียว กุ๊กคล้าย,18.2832876,99.4914496,17:00,23:00,Lampang
กอและบางนรา,18.284704,99.5003394,10:00,20:00,Lampang
ยำปูม้าเจ็ดยอด สาขาลำปาง,18.2920902,99.5069416,10:00,0:00,Lampang
ร้านอาหารบัวชมพู,18.3080092,99.4963192,0:00,24,Lampang
เตี๋ยวหน้าซอย แยกบ้านย่าเป้า จังหวัดลำปาง,18.254573,99.455689,"	
9:00",15:00,Lampang
ร้านออนโซดา,18.2773065,99.7145107,"	
9:00",20:00,Lampang
ร้านอาหารแม่เมาะ,18.2952757,99.7351648,7:30,15:00,Lampang
ร้านแกงแค,18.2858847,99.671228,"	
9:00",15:30,Lampang
ลำปาง วัลเลย์,18.4300571,99.7608131,"	
7:00",17:00,Lampang
ร้านลาบลำปาง,18.2857547,99.6531862,"	
9:00",21:00,Lampang
DOF cafe- Degree of freedom,18.2857358,99.6540482,"	
8:00",16:30,Lampang
บ้านสวนกลมกล่อม,18.2568966,99.6620273,"	
9:00",14:30,Lampang
Bright Café,18.2681019,99.6565458,"	
8:00",20:00,Lampang
BAN HOM HAG,18.2616441,99.7608935,"	
9:00",21:00,Lampang
ย่าง-จุ่ม มุมสบาย @แม่เมาะ,18.2675949,99.6475006,"	
16:00",21:00,Lampang
ก๋วยเตี๋ยวลิ้นวัวรสเด็ด,18.2642932,99.6455458,"	
8:30",14:00,Lampang
ร้าน ฅ.คนใต้ ผัดไทยหอยทอดข้าวแกงปักษ์ใต้อาหารอิสลาม,18.2779628,99.66044,"	
8:30",21:00,Lampang
ร้านพรรคกระยาจก,18.3008883,99.6963643,7:00,19:00,Lampang
ครัวเงาไม้(หล่ายโต้ง),18.2865852,99.7102774,"	
9:00",19:00,Lampang
Corner Steak ร้านสเต็กมุมสบาย,18.2856153,99.7208112,"	
8:30",16:30,Lampang
ครัวตามสั่ง by เชฟอุ้ม,18.2958719,99.6883088,"	
6:00",21:00,Lampang
ครัวสาละวิน แม่เมาะ,18.2626261,99.6600308,"	
8:00",20:00,Lampang
ถิ่นไทยคอฟฟี่,18.1291056,99.6226675,"	
8:00",18:00,Lampang
แม่เมาะอีทเทอรี่,18.3068729,99.7403228,9:00,19:00,Lampang
ครัวคุณแหม่ม,18.2731194,99.7179867,"	
11:00",20:00,Lampang
ร้านลาบป้าเกี๋ยง,18.2638421,99.6509116,10:00,20:00,Lampang
ร้านส้มตำรสเจ็บ เจ๊ติ๊ก,18.2859274,99.6574842,"	
9:00",15:00,Lampang
ร้านไส้กรอกแม่เมาะ พี่ปุ้ม,18.2810286,99.6629118,"	
7:00",18:00,Lampang
ซาลาเปาตี๋แว่น,18.2610353,99.6438097,8:00,17:00,Lampang
ก๋วยจั๊บยายจันทร์(เจ้าเก่า),18.2648039,99.6479461,"	
6:30",15:00,Lampang
ร้านป้าไรตามสั่ง,18.2763898,99.6561808,10:00,20:00,Lampang
ร้านอาหารเจ้หนูซ13,18.2773471,99.661475,8:00,19:00,Lampang
ครัวป้ายวง,18.2598712,99.660129,"	
10:00",20:00,Lampang
ครัวริมบึง,18.2558277,99.6880563,"	
8:00",18:00,Lampang
ร้านอาหารเฮามันรั้นMeamoh,18.2731705,99.656193,"	
10:00",20:00,Lampang
หลู้อ้ายลิน,18.2694474,99.6645758,"	
10:00",20:01,Lampang
ร้านข้าวขาหมูหน้าอำเภอแม่เมาะ,18.2740183,99.6504533,6:30,14:30,Lampang
ครัวขนาบน้ำ,18.2730964,99.7179687,"	
9:00",22:00,Lampang
ร้านตำนํ้าแตก,18.2624331,99.6474311,10:00,20:00,Lampang
EGAT Synergy Space,18.3068818,99.740328,"	
9:00",19:00,Lampang
ครัวไทย,18.2761588,99.6570764,"	
7:00",0:00,Lampang
๙หลานอาหารตามสั่ง,18.2993931,99.6977456,8:00,19:00,Lampang
สวนอาหารอุ่นไอดิน,18.2662366,99.6562919,"	
9:30",19:00,Lampang
ครัวคากิ,18.2738302,99.6481921,8:00,19:00,Lampang
ร้านอาหารสวนสุขภาพ,18.2994241,99.6804581,9:00,21:30,Lampang
Mama's Bar & Restaurant,18.2844041,99.6689055,"	
10:00",0:00,Lampang
เมาะเกาะ คาเฟ่ Moh Koh Cafe,18.2672447,99.64674,"	
7:00",18:00,Lampang
ร้านขนมจีนน้ำเงี้ยวป้ายุ,18.2722676,99.6679224,"	
9:00",15:00,Lampang
ซะป๊ะกะ​เพราะ​พริกแห้ง,18.26638,99.6573736,"	
8:30",15:30,Lampang
"บ้านกลางซอย,Ban kang soi",18.2926278,99.6684552,"	
10:00",19:00,Lampang
ก๋วยเตี๋ยวรสเด็ด (สูตรอุดร),18.2663209,99.6573573,"	
8:30",15:30,Lampang
ร้านโซจูชิค กอเกาหลี,18.2880796,99.6718155,"	
11:00",20:00,Lampang
สถานี หนีเมียมา กาแฟสด,18.4317561,99.7632117,"	
8:00",19:00,Lampang
ข้าวซอยครูนุ่น,18.2748214,99.6586961,10:30,16:00,Lampang
ส้มตำเวียงจันทน์ แม่เมาะ สาขา 2,18.2764344,99.6561859,11:00,22:00,Lampang
