name,lat,lon,province
Little Good Things,19.2952555,97.966714,Mae Hong Son
บ้านถ้ำคาเฟ่CaveCafe @maehongson,19.3139952,97.9643996,Mae Hong Son
one off coffee,19.2987348,97.9694759,Mae Hong Son
กาแฟโหโข๋ Ho Kho Coffee,19.4600799,97.9666841,Mae Hong Son
ร้านช้างไทยกาแฟสด,19.4242497,97.9808643,Mae Hong Son
LOLA gallery DRIP,19.2983383,97.9656289,Mae Hong Son
99Street coffee,19.3060335,97.9676633,Mae Hong Son
Cafeบ้านดิน บ้านรักไทย,19.586103,97.9426841,Mae Hong Son
Leewine Coffee,19.5859114,97.9426717,Mae Hong Son
Alawaa Cafe,19.3000376,97.9641002,Mae Hong Son
Cozi Eat & Sip,19.2992556,97.9645092,Mae Hong Son
ปะต่อง คาเฟ่,19.2591901,97.903355,Mae Hong Son
Wojia cafe,19.585125,97.9431883,Mae Hong Son
Feel Good Café (Coffee & Dessert),19.298949,97.9657289,Mae Hong Son
Dew coffee shop,19.5862507,97.9426703,Mae Hong Son
WC coffee & ไร่หวานซึ้ง,19.5370505,97.9299527,Mae Hong Son
Phamolor Coffee พะมอลอ คอฟฟี่,18.1787029,97.9232317,Mae Hong Son
Cafe' De Room,19.3016209,97.9641024,Mae Hong Son
เฮิร์นโฮม,19.2935713,97.9658488,Mae Hong Son
เฮินไม้ กาแฟ,19.5080206,98.0773472,Mae Hong Son
Huai Hom Coffee,19.2952838,97.9640514,Mae Hong Son
กาแฟเข้าท่า สาขา เมืองแม่ฮ่องสอน Khaotha Cafe' Maehongson,19.2944288,97.9648009,Mae Hong Son
Dad's Garden,18.8091836,97.9315495,Mae Hong Son
ร้านชาป้านวย_露咖啡店,19.5862015,97.9426267,Mae Hong Son
Landmark 1864,19.4241112,97.9808834,Mae Hong Son
คาเฟยเตี้ยน,19.5851398,97.9456502,Mae Hong Son
Slow Bar specialty coffee,19.584998,97.9425408,Mae Hong Son
Annie Coffee Roaster Rak Thai Village,19.5850997,97.9467457,Mae Hong Son
กาแฟแม่ฮ่องสอน,19.2957334,97.9639029,Mae Hong Son
Romance Farm & Cafe,19.3828695,98.4456031,Mae Hong Son
The farm cafe - at pangmapha,19.5126692,98.2718879,Mae Hong Son
24/7 กาแฟ : Twenty-Four Seven Coffee,17.9653719,97.9280953,Mae Hong Son
Elden Cafe,19.5168728,98.2565919,Mae Hong Son
Sweet & Salty restaurant & café,19.5712421,98.2757886,Mae Hong Son
Bar 124 Cafe,19.5446181,98.212667,Mae Hong Son
Curve cafe โค้งคาเฟ่,19.3857869,98.440416,Mae Hong Son
ร้านชิมชาเฉินฟง,19.52687,97.934869,Mae Hong Son
ร้านกาแฟมิตรไมตรี MITMAITRI COFFEE,18.1655849,97.9312726,Mae Hong Son
Coffee Jack,18.8354039,97.9419222,Mae Hong Son
ร้านกาแฟเมล็ดแม่ฮ่องสอน 6ICK REFLOW.,19.3136564,97.9771694,Mae Hong Son
กาแฟ@บ้านโบราณ Coffee @ Ban Boran,19.3014478,97.9689718,Mae Hong Son
กาแฟสุข Sook Coffee,18.3774396,97.9422955,Mae Hong Son
มองเขาคาเฟ่ Mongkhao Cafe’,18.5395454,97.9381291,Mae Hong Son
"Coffee, Mae La Noi",18.3729622,97.9353576,Mae Hong Son
1/1 Cafe,18.5177971,97.928802,Mae Hong Son
แจง คอฟฟี่ @jang coffe,18.3778858,97.9425735,Mae Hong Son
ลาแฟ Lafae MAELA Coffee,18.3809488,97.9366193,Mae Hong Son
Maela Food & Coffee,18.5405773,97.9382097,Mae Hong Son
Little Morning Farmstay,18.3574717,97.9699083,Mae Hong Son
สันติสุข คาเฟ่,18.5362147,97.9345816,Mae Hong Son
APPS CAFE’ แอปส์ คาเฟ่,18.3366811,97.9175001,Mae Hong Son
Chomview Coffee,18.3729062,97.935245,Mae Hong Son
คาเฟ่บ้านบ้าน,18.5207581,97.9311616,Mae Hong Son
Hi coffee & food and southern thai food,18.5183452,97.9279886,Mae Hong Son
