name,lat,lon,province
Tar Sawang Coffee At Tha phae - กาแฟ ตาสว่าง สาขาท่าแพ,18.7884165,98.9977125,Chiang Mai
อินทูท่าแพ,18.7883402,98.9974548,Chiang Mai
ISSARA Coffee Space at Tha Phae,18.7880141,99.0010951,Chiang Mai
Single Origin Store Tha Pae,18.7875448,98.9930357,Chiang Mai
Nomad Coffee,18.7882906,98.9988785,Chiang Mai
Still.Coffee&Life,18.7887906,99.001593,Chiang Mai
Café Felecius,18.7881135,98.9953194,Chiang Mai
Kilim Coffee House,18.7901288,98.9999617,Chiang Mai
JAI LOY CAFE & ROOFTOP,18.7897309,98.9969337,Chiang Mai
GREENLAND GREENCAFE,18.7880382,98.9941383,Chiang Mai
Chaiyee Coffee,18.7868364,99.0010219,Chiang Mai
Coffee and Relax,18.7856364,98.9934707,Chiang Mai
กาแฟบ้านเวียง,18.7866234,99.0026773,Chiang Mai
แอ่วดี คาเฟ่ All Day Breakfast and coffee,18.7863942,98.997809,Chiang Mai
anamii.coffee X woody restaurant bar,18.7875994,98.9989581,Chiang Mai
sripingbar coffee,18.7907968,98.9995521,Chiang Mai
ออน เดอะ เวย์ คาเฟ่ เชียงใหม่ สาขาไนท์บาซาร,18.7857981,99.0004399,Chiang Mai
Somewhere Espresso,18.7843448,98.9966604,Chiang Mai
attika studio,18.7880017,98.9996304,Chiang Mai
สตาร์บัคส์ สาขา ท่าแพ,18.7879713,98.9936925,Chiang Mai
Weng Homecooking Cafe,18.7915727,99.0003465,Chiang Mai
ทาเมล คอฟฟี่,18.7893928,99.0003998,Chiang Mai
Kadluang cafe,18.7921067,99.0000747,Chiang Mai
"Bee’s Rista Coffee,CNX",18.7894509,99.0006154,Chiang Mai
Phonnon cafe',18.7878738,98.9946229,Chiang Mai
Waan Coffee,18.7859076,98.9986299,Chiang Mai
Tapae Gate Kafe,18.7895271,98.9931818,Chiang Mai
Maneema.Slowbar,18.7882397,99.0012118,Chiang Mai
ME Moai and Easter,18.789511,98.997193,Chiang Mai
เลิฟแอทเฟิร์สไบท์,18.786188,99.0065071,Chiang Mai
es•pe•cial Coffee Bar,18.7874014,99.0058826,Chiang Mai
I Coffee,18.791736,98.9932105,Chiang Mai
60 cafe',18.7878869,98.9974314,Chiang Mai
The Canteen - Tha Pae,18.7878637,98.9940038,Chiang Mai
Tiny-Coffee วัดผ้าขาว,18.7853731,98.9914285,Chiang Mai
SINC,18.7933528,98.9970227,Chiang Mai
