name,lat,lon,open,close,type,province
พิพิธภัณฑ์เรือนโบราณล้านนา สำนักส่งเสริมศิลปวัฒนธรรมและล้านนาสร้างสรรค์ มหาวิทยาลัยเชียงใหม่,18.792187,98.961813,8:30,16:30,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ขุนแปะ,18.3117417,98.4798464,8:00,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยแม่โถ,18.249651,98.2046864,6:00,24:00:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยม่อนเงาะ,19.1802641,98.7680098,6:00,24:00:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
เมืองคอง,19.3827266,98.7260927,8:00,20:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ป่าบงเปียง,18.539696,98.4431682,7:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
อุทยานแห่งชาติออบหลวง,18.2226415,98.481617,6:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
พระตําหนักภูพิงค์ราชนิเวศน์,18.8053,98.9004512,8:00,16:30,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
วัดผาลาด,18.7993968,98.9341468,6:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
อ่างเก็บน้ำห้วยลาน ,18.70204027,99.19896886,6:00,24:00:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
 จุดชมวิวม่อนสน,19.8622928,99.051809,8:00,16:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ไร่ชาลุงเดช,19.205949,98.7948903,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
I love flower Farm ,18.8977721,98.9806351,8:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
วัดกองกาน,18.5477616,98.3529683,9:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ดอยม่อนหมาก,18.46119243,98.34950299,8:00,16:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
 น้ำตกสิริภูมิ ,18.5471959,98.5121858,9:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ถนนอุโมงค์ต้นไม้เชียงดาว,19.3839853,98.9392826,9:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ศูนย์พัฒนาโครงการหลวงวัดจันทร์ ,19.0682208,98.2919367,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ผาช่อ ,18.5176671,98.7370972,8:30,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยม่อนอังเกตุ ,19.0683564,98.6407655,8:00,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยอ่างขาง,19.8697222,99.055,8:00,20:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
จุดชมวิวดอยกิ่วลม,19.3138177,98.6041721,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ห้วยกุ๊บกั๊บ,19.2421081,98.830858,6:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
แกรนด์แคนยอน วอเตอร์ปาร์ค เชียงใหม่,18.6959737,98.8919586,9:00,19:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ขันโตกศูนย์วัฒนธรรมเชียงใหม่,18.7721947,98.9801076,9:00,21:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
Art in Paradise Chiang Mai,18.7795901,99.0431352,9:00,19:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ลานเนินนุ่ม,18.8623485,98.9569813,13:00,22:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
 บ่อน้ำพุร้อนฝาง ,19.965911,99.154263,7:30,19:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
วัดพุทธเอ้น ,18.5134982,98.350523,8:00,17:30,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
สวนน้ำทูปเทร็ค,18.7648372,99.0970052,11:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
คิงคองสไมล์ ซิปไลน์ เชียงใหม่,18.9410224,99.3670384,8:30,17:30,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
อ่างกา,18.5884542,98.486105,5:00,19:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยค้ำฟ้า,19.5537096,98.8087354,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ผาจูบกัน,18.2226415,98.481617,8:00,16:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
น้ำพุร้อนโป่งเดือด,19.2432905,98.6834693,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ลานกางเต๊นท์เอื้องเงิน,19.303936,98.5988693,6:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
วัดเด่นสะหลีศรีเมืองแกน,19.1577357,98.9784843,7:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
Jungle Adventure Park,18.6805517,98.9603471,8:30,18:30,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
น้ำตกวชิรธาร,18.5420027,98.5982538,6:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
วัดจอมธรรม,18.6322625,99.2825578,9:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
วัดหลวงขุนวิน,18.7147437,98.7148831,6:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ลิตเติ้ลโซล,18.7382478,98.9342048,10:00,19:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
เป้อ หละ เหม้อ,18.9035924,98.9067364,9:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
น้ำตกวังม่วง,18.5056554,98.6628837,6:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
กิโล9 พัทยาเมืองฮอด,18.2225514,98.5724151,8:30,18:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
โม่งทรายบีช,18.8822975,98.9786837,9:00,22:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ฮิมดอย คาเฟ่,18.7395597,98.8895771,11:00,20:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
น้ำตกห้วยหอย,18.6587554,98.648966,9:00,20:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
เฮง สเตชั่น,18.7788259,99.0163849,8:00,17:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
กู๋เนียร์ไฮเดรนเยีย,18.9242209,98.8221956,7:00,21:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
เนเจอร์ ทอล์ค,18.8880609,98.9780889,8:30,18:30,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ดอยแม่ตะมาน สันป่าเกี๊ยะ,19.325,98.8313889,8:30,22:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
แม่ปั๋ง แคมป์ปิ้ง,19.2170105,99.1573031,8:30,22:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
พันธุ์ทิพย์ ไลฟ์สไตล์ ฮับ - เชียงใหม่,18.7818592,98.9998144,10:00,20:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ฟลามิงโก้ บลูมมิ่ง บีช,18.9228514,98.9720686,11:00,20:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
Inthanon Mountain Camping,18.5425394,98.5228016,15:00,21:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
สะพานช่อแล,19.1273881,99.0069567,9:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
Pa Pae Meditation Retreat ,19.1155757,98.7107537,9:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
น้ำตกห้วยตึงเฒ่า (ตาดมุก),18.8615421,98.9224833,7:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ดอยหมื่นหมาก,18.4724879,98.3482414,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
Thingamajiggy Coffee Roaster,18.9443426,98.9277222,9:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ล่องแก่ง เชียงใหม่ ธนาแอดเวนเจอร์,19.2206801,98.8463135,8:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
Cypress Lanes,18.7908059,98.8404283,10:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
WTF Coffee Camp ,18.8732554,98.8124654,9:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
สวนดอกไม้ป้านกเอี้ยง,18.894633,98.9815041,6:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ยิ่งยงสวนดอกไม้,18.9393705,98.7995164,6:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
สกายวอร์ควัดระธาตุดอยสะเก็ด,18.8725775,99.1400038,5:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
ไร่สตอเบอรี่บ้านนอแล,19.9298728,99.0349621,7:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
จุดชมวิวบ้านขอบด้ง,19.927625,99.053204,6:00,22:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
บ้านธารชีวี,19.3204682,98.8901129,9:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
บ้านแกะ แม่ขิ,18.9553449,98.8006194,7:30,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
โมริ เนเชอรัล ฟาร์ม,18.8670537,98.831254,8:30,17:30,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
Kyoto Shi Cafe,18.7871396,98.955471,9:00,20:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
อุทยานแห่งชาติน้ำตกบัวตอง-น้ำพุเจ็ดสี,19.0691986,99.0794909,8:00,17:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
