name,lat,lon,capacity,power_kw,type,district,,,
EA Anywhere Charging Station สันกำแพง,18.779438,99.069437,1,75,DC,สันกำแพง,,,
สถานีชาร์จ EleXA ถ.ห้วยแก้ว ตำบลสุเทพ,18.80375,98.96375,2,150,DC,เมืองเชียงใหม่,,,
สถานีชาร์จ Nissan ท่าศาลา,18.765313,99.033312,1,50,DC,เมืองเชียงใหม่,,,
สถานีชาร์จ Nissan ท่าศาลา,18.765313,99.033312,1,3,AC,เมืองเชียงใหม่,,,
สถานีชาร์จ EV POWER ENERGY The Astra Sky River,18.772562,98.998437,2,7.2,AC,เมืองเชียงใหม่,,,
EA Anywhere Charging Station My Hip Condo 2,18.799937,99.023562,2,50,DC,เมืองเชียงใหม่,,,
EA Anywhere Charging Station My Hip Condo 3,18.799937,99.023562,2,22,AC,เมืองเชียงใหม่,,,
EA Anywhere Charging Station My Hip Condo 4,18.799937,99.023562,1,150,DC,เมืองเชียงใหม่,,,
EA Anywhere Charging Station My Hip Condo 5,18.799937,99.023562,1,75,DC,เมืองเชียงใหม่,,,
ปั้มน้ำมัน บางจาก บจก.เชียงใหม่ ออยล์ (น้ำมัน+EV) หนองหอย,18.747937,99.018812,2,22,AC,เมืองเชียงใหม่,,,
PTT Station ปตท.หนองหอย (น้ำมัน+EV),18.759563,99.007063,2,120,DC,เมืองเชียงใหม่,,,
PTT Station ปตท.หนองหอย (น้ำมัน+EV),18.759563,99.007063,1,22,AC,เมืองเชียงใหม่,,,
PTT Station ปตท.หนองหอย (น้ำมัน+EV) บจ.ระมิงค์ ออยล์,18.74741,99.01928,2,120,DC,เมืองเชียงใหม่,,,
สถานีชาร์จ MG Super Charge ตำบลป่าแดด,18.767688,98.980688,2,120,DC,เมืองเชียงใหม่,,,
MG Super Charge Charging Station สาขาแม่โจ้,18.814062,98.983688,1,50,DC,เมืองเชียงใหม่,,,
สถานีชาร์จ Noodoe ครอสเชียงใหม่ริเวอร์ไซด์,18.801687,99.005063,2,7,AC,เมืองเชียงใหม่,,,
MG Super Charge Charging Station สารภี,18.727688,99.040188,2,50,DC,สารภี,,,
PTT Station หจก.เชียงใหม่สหชัยวัฒนา ตำบลสันนาเม็ง อำเภอสันทราย,18.8337,99.05698,2,120,DC,สันทราย,,,
PTT Station หจก.เชียงใหม่สหชัยวัฒนา ตำบลสันนาเม็ง อำเภอสันทราย,18.8337,99.05698,1,22,AC,สันทราย,,,
PTT Station หจก.พี ดี บริการ ตำบลสันทรายน้อย อำเภอสันทราย,18.83727,99.042065,2,120,DC,สันทราย,,,
PTT Station ปตท.เชียงใหม่-แม่โจ้ 2 (น้ำมัน+EV),18.866813,99.015563,2,120,DC,สันทราย,,,
PTT Station ปตท.เชียงใหม่-แม่โจ้ 1 (น้ำมัน+EV),18.828756,99.011964,2,120,DC,สันทราย,,,
